play_id,game_id,posteam,home_team,away_team,week,game_date,field_goal_result,extra_point_result,two_point_conv_result,td_team,total_home_score,total_away_score,safety,touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,away_score,home_score
3270,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,good,,,13,38,0.0,0.0,1.0,0.0,0.0,38,13
3286,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3310,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3332,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3353,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3377,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3398,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3420,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3444,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3466,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3488,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3510,2021_01_ARI_TEN,,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3527,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3546,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3567,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,,,,,,38,13
3586,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3607,2021_01_ARI_TEN,,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3624,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3645,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3666,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3687,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3708,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,missed,,,,13,38,0.0,0.0,0.0,0.0,1.0,38,13
3728,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3752,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3776,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3804,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3828,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3847,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3871,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3893,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3919,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3943,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3964,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
3987,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
4008,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
4029,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
4050,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
4071,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
4092,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,,,,,,38,13
4115,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,38,0.0,0.0,0.0,0.0,0.0,38,13
